LOTE,constr.,bathroom,estac.,rec.,antiguedad,medio bathroom,Guadalajara,San Pedro Tlaquepaque,Tlajomulco de Zúñiga,Tonalá,Zapopan,venta,precio
300,280,0,2,4,2.0,1,0,0,0,0,1,0,43800.0
300,290,0,2,3,5.0,1,0,0,0,0,1,0,50000.0
71,76,1,2,3,0.0,1,0,0,0,0,1,0,13000.0
1000,1000,0,10,5,2.0,1,0,0,0,0,1,0,140000.0
130,130,0,2,3,5.0,1,0,0,0,0,1,0,15000.0
258,258,0,2,3,5.0,0,0,0,0,0,1,0,45000.0
315,280,0,2,5,12.0,0,0,0,0,0,1,0,60000.0
300,400,0,12,1,0.0,0,0,0,0,0,1,0,9300.0
100,150,0,2,2,10.0,1,0,0,0,0,1,0,32500.0
245,215,0,0,3,0.0,1,0,0,0,0,1,0,42900.0
201,195,0,2,3,15.0,1,0,0,0,0,1,0,31000.0
105,105,0,1,3,9.0,1,0,0,0,0,1,0,15900.0
90,100,0,2,3,1.0,1,0,0,0,0,1,0,14000.0
133,120,0,2,3,20.0,1,0,0,0,0,1,0,3800000.0
258,258,0,2,3,5.0,0,0,0,0,0,1,0,45000.0
80,80,0,1,3,5.0,0,0,0,0,0,1,0,8500.0
190,200,0,2,3,0.0,1,0,0,0,0,1,0,33000.0
121,155,0,2,3,8.0,1,0,0,0,0,1,0,32000.0
150,250,0,2,4,2.0,1,0,0,0,0,1,0,36500.0
71,76,1,2,3,0.0,1,0,0,0,0,1,0,13000.0
175,115,0,2,3,0.0,1,0,0,0,0,1,0,19300.0
200,285,0,2,3,2.0,1,0,0,0,0,1,0,33000.0
390,395,0,4,3,10.0,1,0,0,0,0,1,0,54900.0
1000,700,0,12,4,2.0,1,0,0,0,0,1,0,150000.0
123306,123306,0,2,3,4.0,1,0,0,0,0,1,0,16300.0
90,115,0,2,3,0.0,1,0,0,0,0,1,0,14000.0
135,180,0,3,3,0.0,1,0,0,0,0,1,0,19800.0
430,430,0,6,3,7.0,0,0,0,0,0,1,0,100000.0
263,276,0,2,3,20.0,1,0,0,0,0,1,0,29800.0
206,238,0,2,3,1.0,0,0,0,0,0,1,0,32000.0
460,680,0,6,3,0.0,1,0,0,0,0,1,0,140000.0
130,130,0,2,3,5.0,1,0,0,0,0,1,0,15000.0
410,475,0,6,5,0.0,0,0,0,0,0,1,0,45000.0
1026,685,0,4,5,8.0,1,0,0,0,0,1,0,78000.0
308,440,0,4,5,25.0,0,0,0,0,0,1,0,46750.0
300,400,0,12,1,0.0,0,0,0,0,0,1,0,9300.0
193,171,0,2,3,15.0,1,0,0,0,0,1,0,23000.0
3060000,362,0,3,0,33.0,1,0,0,0,0,1,0,35000.0
155,155,0,3,3,5.0,1,0,0,0,0,1,0,34000.0
468,468,0,5,6,15.0,1,0,0,0,0,1,0,65000.0
468,468,0,5,6,15.0,1,0,0,0,0,1,0,65000.0
410,475,0,6,5,0.0,0,0,0,0,0,1,0,45000.0
